,eng,korean
0,no,add
1,balcony,balcony
2,build,build_a
3,build,build_b
4,build,build_c
5,build,build_d
6,build,build_e
7,build,build_f
8,bush,bush
9,clothbox,clothbox
10,crosswalk,crosswalk
11,door,door
12,no,guidesign
13,lamp,lamp
14,lanebar,lanebar
15,largepot,largepot
16,mailbox,mailbox
17,noparking,noparking
18,road,road
19,roadsign,roadsign
20,roof,roof_a
21,roof,roof_b
22,roof,roof_c
23,roof,roof_d
24,roof,roof_e
25,no,secom
26,sky,sky
27,speedbump,speedbump
28,stairs,stairs
29,switchboard,switchboard
30,bush,tree
31,walkroad,walkroad
32,wall,wall_a
33,wall,wall_b
34,wall,wall_c
35,wall,wall_d
36,wall,wall_e
37,wall,wall_g
38,wall,wall_h
39,window,window_a
40,window,window_b
41,window,window_c
42,window,window_d
43,no,sign_a
44,no,trafficsign
