eng,korean
walkroad,인도
road,차도
roof_a,지붕a
roof_b,지붕b
roof_c,지붕c
roof_d,지붕d
roof_e,지붕e
build_a,외벽a
build_b,외벽b
build_c,외벽c
build_d,외벽d
build_e,외벽e
build_f,외벽f
door,대문
wall_a,담장a
wall_b,담장b
wall_c,담장c
wall_d,담장d
wall_e,담장e
wall_f,담장f
wall_g,담장g
wall_h,담장h
balcony,발코니
window_a,창문a
window_b,창문b
window_c,창문c
window_d,창문d
secom,세콤간판
add,도로명주소
sign_a,건물간판
sign_b,상가간판
trafficsign,신호등
guidesign,안내표지판
roadsign,도로표지판
lamp,가로등
tree,나무
switchboard,배전반
aptsign,아파트간판
noparking,주차금지구조물
largepot,대형화분
clothbox,의류수거함
lanebar,차선규제봉
road,현재주행차로
road,주행불가차로
road,주행가능차로
crosswalk,횡단보도
speedbump,과속방지턱
guidmap,공원안내도
walklamp,보행자신호등
stairs,계단
mailbox,우체통
